"","MekDD_1_1","Aktmyr_1_2","ARPE19_1_3","RasV12_1_4","T53D4_1_5","MekDD_3_1","Aktmyr_3_2","ARPE19_3_3","RasV12_3_4","T53D4_3_5","RasV12_2_4","T53D4_2_5","MekDD_2_1","Aktmyr_2_2","ARPE19_2_3"
"BUB1B",2365.78628637087,1301.40007108924,1284.65285905029,3207.74161310566,1917.35132363848,2411.06676995137,3115.31617238998,3155.31339644259,2592.58261987613,2920.32581126117,2815.69366896329,2602.00890397076,2852.60931723753,1653.80958551247,1947.24417512245
"AURKB",1940.71411621806,1055.37267824969,829.956964375774,2118.04122098085,1988.24676441319,1381.51884904813,1520.24278450384,1306.99628905973,1487.89257015089,1759.05281127523,2102.1980713625,1964.90528201499,1927.35395870529,1424.05631393314,1113.62526366904
"BUB1",4355.54719145271,3629.32822954354,2674.30577409972,5780.2981175588,3609.31863406781,3245.51470072186,4820.6662389448,5289.2913693984,3697.27266960137,4120.35760200402,4264.03818958326,3442.77130728777,4286.7551229625,3050.95785863002,3331.27557321687
"SKA1",896.306023942135,493.751526319387,343.304530918912,1272.6427937224,761.861453101384,842.357389829922,1006.93110165323,826.981683896075,1003.62564873386,1042.01518227236,1144.24371379941,782.478475756396,915.845982004792,672.70102038993,472.010708020642
"SKA2",2806.24568440252,2214.24653555601,1701.9139511512,2899.80750855319,2574.45682693843,2728.76337550538,3423.82830914163,2723.56112929811,2537.83940267247,2981.44544283938,1999.11305210129,2435.86621391289,2382.92460557582,1915.99049602342,2039.24626227901
"SKA3",1144.42507348835,590.465742814937,460.174158465776,1596.4849331964,965.024507261753,921.451980424281,1101.45396908352,1107.42499941288,1221.19484531253,1277.54937225667,1550.69321831503,1139.55127334044,1308.68745202568,741.695996840179,761.617278026528
"SGO1",769.361393941746,653.245146505031,354.261058501431,1090.83668033349,667.686912370796,705.260099466366,1046.31562974919,845.243109092518,823.955602526958,852.693396652062,973.417110452266,818.654706656093,818.615757887845,718.237704847094,525.611924016207
"PPP2R5C",3974.71330145155,3211.08166171629,3694.17588323914,4407.66196147249,3445.30679346959,3426.11401591231,3720.52508746448,3940.55467988966,3242.48286514016,3534.50357248608,3915.02176722746,3925.12105261706,3724.54487544757,2777.04780212253,3760.08530118139
"PPP2R5B",669.344412729319,1370.11806702029,1105.69624186916,556.78122225355,966.082648168838,432.383761915828,976.736296779666,628.714781763262,557.25787768859,427.837421047451,575.067143164312,567.430880963757,537.902691485691,1177.05429824125,813.618457723717
"PPP2R2A",2050.34811485475,1889.32070294377,2254.30555010318,2345.298862717,2119.45623689177,1961.5458467401,2254.10782469178,2597.03554043704,2032.51739771556,2146.64071884435,2583.75237562557,2311.25919636949,2087.31335967188,2377.56688847559,2612.85927524647
"PPP2R2A",2050.34811485475,1889.32070294377,2254.30555010318,2345.298862717,2119.45623689177,1961.5458467401,2254.10782469178,2597.03554043704,2032.51739771556,2146.64071884435,2583.75237562557,2311.25919636949,2087.31335967188,2377.56688847559,2612.85927524647
"PPP2R5D",995.361303412134,1529.61168720594,1280.08763922424,1227.19126537517,1210.51319770553,999.228327842067,1319.38169121447,1106.12061189885,985.37790966597,1113.56987290051,1234.07494486989,1379.38628560139,1350.24553168857,1466.1432495678,1136.82578999548
"PPP2R5A",1209.8207919734,1784.12278324686,1630.69652186483,1496.4915708325,1227.4434522189,1571.3458664746,1446.72499872472,1284.82170132119,1142.58920009701,1198.54106802143,1353.35903858643,1657.40731936757,1517.26196505075,1510.98998426046,1442.43272298512
"PPP2R5E",2191.71827099155,2034.3920276871,1793.21834767219,2182.80964887565,1917.35132363848,1850.813419908,2297.43080559733,2145.71746058209,1931.45299672418,1835.07967006764,2232.52698857131,1826.22973023282,2015.95892100541,2067.08949444947,2001.6454092672
"PPP1CA",4084.34730008825,4036.54598320901,4484.87195711089,4739.45811840726,4708.72703652939,4372.61261669147,4457.01576285883,4527.5290612039,4095.91558462293,5084.85520276256,4776.5179996247,4830.19675531132,4669.40310174532,5113.90765449247,5080.91526549
"PPP1CC",7844.60111297853,5453.3244178368,6007.82929108096,8660.78872656441,6125.57771111654,7674.81177400595,7026.19981231825,8515.0416915987,5550.12002111003,7118.20099477901,6975.91051771919,6652.40690433306,7790.17965001507,4833.78805010446,7216.16370567152
"PPP1CB",11805.8505900361,16223.3856319684,12837.3981508508,7589.2689457785,16147.230242121,11120.6994375669,12719.88975739,10602.0617140494,7600.88515789348,10215.9228098891,5565.11839697294,7913.88547440951,7706.27937597868,9052.8308600372,8678.59688238632
"NUF2",2686.03296659912,1420.17191590834,958.696163470366,3241.83025936608,1828.46748744332,2405.79379724508,2292.17953518454,2334.85365011668,2157.4442267188,2504.41417198508,2200.8651612268,1896.57240142668,2785.95956683478,1273.6472652716,1374.43118030418
"SPC24",1691.63336492941,1518.58287304416,890.217866079626,2341.88999809095,1658.1068014026,2074.91475992535,2875.07055100466,1702.22570581132,2003.04028075974,2660.94005773414,1829.75909188645,1822.88007922359,1749.35991939443,1784.21009100344,917.620817118096
"SPC25",857.837954245047,448.787899352158,314.087124032196,1084.0189510814,775.617284893492,842.357389829922,1054.19253536838,876.548409429278,908.175936686442,1039.03373682952,787.12775421594,796.547009995167,794.308201858608,507.113076909332,541.612286999957
